id	name	aliases	charge	formula
5mta	5-Methylthioadenosine	KEGG:C00170;CAS:2457-80-9;BIGG:bigg34127;	0	C11H15N5O3S
dad-2	Deoxyadenosine	KEGG:C00559;CAS:958-09-8;BIGG:bigg35352;	0	C10H13N5O3
dgdp	dGDP	KEGG:C00361;BIGG:bigg34741;	-3	C10H12N5O10P2
dgtp	dGTP	KEGG:C00286;CAS:2564-35-4;BIGG:bigg34502;	-4	C10H12N5O13P3
lys-L	L-Lysine	KEGG:C00047;CAS:56-87-1;BIGG:bigg33655;	1	C6H15N2O2
Lfmkynr	L-Formylkynurenine	KEGG:C02700;CAS:1022-31-7;BIGG:bigg1445551;	0	C11H12N2O4
dcacoa	Decanoyl-CoA (n-C10:0CoA)	KEGG:C05274;BIGG:bigg45478;	-4	C31H50N7O17P3S
dolmanp_U	Dolichyl phosphate D-mannose, human uterine homolog	BIGG:bigg1809323;	-10	C1085H1780O90P10
g2m8masn	(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	BIGG:bigg1822369;	0	C82H137N2O65X
g1m7masnB	glucosyl-(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform B (protein)	BIGG:bigg1838934;	0	C70H117N2O55X
cholcoads	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enoyl-CoA	KEGG:C05460;CAS:67-97-0;BIGG:bigg45854;	-4	C48H74N7O20P3S
5pmev	(R)-5-Phosphomevalonate	KEGG:C01107;BIGG:bigg36819;	-3	C6H10O7P
carn	L-Carnosine	KEGG:C00386;CAS:305-84-0;BIGG:bigg1800369;	0	C9H14N4O3
chlstol	Cholesta-7,24-dien-3beta-ol	KEGG:C05439;CAS:7488-99-5;BIGG:bigg45811;	0	C27H44O
11docrtsl	11-Deoxycortisol	KEGG:C05488;CAS:152-58-9;BIGG:bigg45914;	0	C21H30O4
pe_hs	phosphatidylethanolamine (homo sapiens)	BIGG:bigg2228931;	0	C5H12NO4PFULLRCO2FULLR2CO2
atp	ATP	KEGG:C00002;CAS:56-65-5;BIGG:bigg33477;	-4	C10H12N5O13P3
paps	3'-Phosphoadenylyl sulfate	KEGG:C00053;CAS:482-67-7;BIGG:bigg33679;	-4	C10H11N5O13P2S
mem2emgacpail_hs	({[(mannosyl),(phosphoethanolaminyl)]-dimannosyl},{phosphoethanolaminyl})-mannosyl-glucosaminyl-acylphosphatidylinositol (M4B)	BIGG:bigg2289619;	0	C59H110N3O40P3FULLRCO2FULLR2CO2
ksi_pre25	keratan sulfate I biosynthesis, precursor 25	BIGG:bigg2296843;	-8	C199H319N14O163S7X
cs_e_pre2	chondroitin sulfate E (GalNAc4,6diS-GlcA), precursor 2	BIGG:bigg2300739;	-5	C31H45NO37S4X
ps_hs	phosphatidylserine (homo sapiens)	BIGG:bigg2228948;	-1	C6H11NO6PFULLRCO2FULLR2CO2
prostgf2	Prostaglandin F2alpha	KEGG:C00639;CAS:551-11-1;BIGG:bigg35568;	-1	C20H33O5
bildglcur	Bilirubin beta-diglucuronide	KEGG:C05787;CAS:SE: COX;BIGG:bigg46500;	-2	C45H50N4O18
1pipdn2c	delta1-Piperideine-2-carboxylate	KEGG:C04092;CAS:2365-40-4;BIGG:bigg43128;	0	C6H9NO2
phytcoa	phytanyl coa	BIGG:bigg2364522;	-4	C41H70N7O17P3S
cs_a_deg4	chondroitin sulfate A (GalNAc4S-GlcA), degradation product 4	BIGG:bigg2415893;	-2	C31H49NO29S
galacglcgalgluside_hs	Lc4Cer	BIGG:bigg2419325;	0	C44H79N2O22FULLRCO
strdnccrn	stearidonyl carnitine	BIGG:bigg2614432;	0	C25H41NO4
fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs	(Gal)4 (Glc)1 (GlcNAc)3 (LFuc)3 (Cer)1	BIGG:bigg2419458;	0	C90H155N4O54FULLRCO
hcoumarin	hydroxy coumarin	BIGG:bigg2299830;	0	C9H6O3
sgalside_hs	sulfatide galactocerebroside (homo sapiens)	BIGG:bigg2265466;	-1	C24H45NO10SFULLRCO
gq1b_hs	GQ1b (homo sapiens)	BIGG:bigg2266620;	-4	C88H143N6O54FULLRCO
digalsgalside_hs	Digalactosylceramidesulfate	KEGG:C06127;CAS:SE: P450;BIGG:bigg47460;	-1	C30H55NO15SFULLRCO
mthgxl	Methylglyoxal	KEGG:C00546;CAS:78-98-8;BIGG:bigg35307;	0	C3H4O2
asp-L	L-Aspartate	KEGG:C00049;CAS:56-84-8;BIGG:bigg33663;	-1	C4H6NO4
uacgam	UDP-N-acetyl-D-glucosamine	KEGG:C00043;BIGG:bigg33638;	-2	C17H25N3O17P2
ala-D	D-Alanine	KEGG:C00133;CAS:338-69-2;BIGG:bigg33977;	0	C3H7NO2
fuc-L	L-Fucose	KEGG:C01019;CAS:2438-80-4;BIGG:bigg36636;	0	C6H12O5
ocdca	octadecanoate (n-C18:0)	KEGG:C01530;CAS:57-11-4;BIGG:bigg37799;	-1	C18H35O2
odecrn	octadecenoyl carnitine	BIGG:bigg1585902;	0	C25H47NO4
ppcoa	Propanoyl-CoA	KEGG:C00100;CAS:317-66-8;BIGG:bigg33852;	-4	C24H36N7O17P3S
dgmp	dGMP	KEGG:C00362;CAS:902-04-5;BIGG:bigg34744;	-2	C10H12N5O7P
dolichol_L	Dolichol, human liver homolog	BIGG:bigg1809211;	0	C1080H1768O10
naglc2p_L	N-Acetyl-D-glucosaminyldiphosphodolichol, human liver homolog	BIGG:bigg1809448;	-20	C1160H1898N10O120P20
gudac	Guanidinoacetate	CAS:352-97-6;BIGG:bigg1594816;	0	C3H7N3O2
